1° de janeiro,Sábado,"Confraternização UniversalFeriado Nacional: Lei Federal no 10.607/2002"
26 de fevereiro,Sábado,"Carnaval(Ponto facultativo/expediente suspenso) - Calendário Acadêmico**"
28 de fevereiro,Segunda-feira,Carnaval  (Ponto facultativo/expediente suspenso*)
1° de março,Terça-feira,Carnaval (Ponto facultativo/expediente suspenso*)
2 de março,Quarta-feira,Cinzas (Ponto Facultativo/Expediente Suspenso*)
8 de abril,Sexta-feira,"Feriado Municipal de Santo AndréFeriado Municipal(Somente no campus Santo André)"
9 de abril,Sábado,(Ponto facultativo/expediente suspenso) - Calendário Acadêmico**
15 de abril,Sexta-feira,"Paixão de CristoFeriado Nacional: Lei Federal no. 9.093/1995: Feriado religiosodisposto nas Leis Municipais no 1.493/1967 (São Bernardo) e no2.634/1967 (Santo André)"
16 de abril,Sábado,"Sábado de Aleluia(Ponto Facultativo/Expediente Suspenso) - Calendário Acadêmico**"
21 de abril,Quinta-feira,"TiradentesFeriado Nacional: Lei Federal no 10.607/2002"
22 de abril,Sexta-feira,(Ponto Facultativo/Expediente Suspenso) - Calendário Acadêmico**
23 de abril,Sábado,(Ponto Facultativo/Expediente Suspenso) - Calendário Acadêmico**
1o de maio,Domingo,"Dia Mundial do TrabalhoFeriado Nacional: Lei Federal no 10.607/2002"
16 de junho,Quinta-feira,"Corpus ChristiFeriado Nacional: Lei Federal no. 9.093/1995. Feriado religiosodisposto nas Leis Municipais no 2.634/1967 (Santo André) e no1.493/1967 (São Bernardo do Campo)"
17 de junho,Sexta-feira,(Ponto facultativo/expediente suspenso) - Calendário Acadêmico**
18 de junho,Sábado,(Ponto facultativo/expediente suspenso) - Calendário Acadêmico**
9 de julho,Sábado,"Data Magna do Estado de São Paulo (RevoluçãoConstitucionalista de 1932)Feriado Estadual: Lei Federal no. 9.093/1995; Lei Estadual no9.497/1997"
20 de agosto,Sábado,"Feriado Municipal de São Bernardo do CampoFeriado Municipal(Somente no campus São Bernardo do Campo)"
"",,Independência do Brasil
7 de setembro,Quarta-feira,Feriado Nacional: Lei Federal no 10.607/2002
"",,Nossa Senhora Aparecida (Padroeira do Brasil)
12 de outubro,Quarta-feira,Feriado Nacional: Lei Federal no 6.802/1980
"",,Comemoração do Dia do Servidor Público
28 de outubro,Sexta-feira,"Art. 236 da Lei no 8.112, de 11 de dezembro de 1990"
"",,(Ponto facultativo/expediente suspenso*)
29 de outubro,Sábado,(Ponto Facultativo/Expediente Suspenso) - Calendário Acadêmico**
"",,Finados
2 de novembro,Quarta-feira,
"",,Feriado Nacional: Lei Federal no 10.607/2002
14 de novembro,Segunda-feira,(Ponto Facultativo/Expediente Suspenso) - Calendário Acadêmico**
"",,Proclamação da República
15 de novembro,Terça-feira,
"",,Feriado Nacional: Lei Federal no 10.607/2002
"",,Dia da Consciência Negra
20 de novembro,Domingo,Feriado Municipal: Leis Municipais no 8.573/2003 (Santo André) e no
"",,5.947/2009 (São Bernardo do Campo)
19 de dezembro,Segunda-feira,Recesso***
20 de dezembro,Terça-feira,Recesso***
21 de dezembro,Quarta-feira,Recesso***
22 de dezembro,Quinta-feira,Recesso***
23 de dezembro,Sexta-feira,Recesso***
24 de dezembro,Sábado,Ponto Facultativo/Expediente Suspenso*
"",,Natal
25 de dezembro,Domingo,
"",,Feriado Nacional: Lei Federal no 10.607/2002
26 de dezembro,Segunda-feira,Recesso***
27 de dezembro,Terça-feira,Recesso***
28 de dezembro,Quarta-feira,Recesso***
29 de dezembro,Quinta-feira,Recesso***
30 de dezembro,Sexta-feira,Recesso***
31 de dezembro,Sábado,Ponto Facultativo/Expediente Suspenso*
